,0,1,2,3,4,5
28,"Game 1 Sun, May 1 Milwaukee Bucks 101@ Boston Celtics 89 Game 2 Tue, May 3 Milwaukee Bucks 86@ Boston Celtics 109 Game 3 Sat, May 7 Boston Celtics 101@ Milwaukee Bucks 103 Game 4 Mon, May 9 Boston Celtics 116@ Milwaukee Bucks 108 Game 5 Wed, May 11 Milwaukee Bucks 110@ Boston Celtics 107 Game 6 Fri, May 13 Boston Celtics 108@ Milwaukee Bucks 95 Game 7 Sun, May 15 Milwaukee Bucks 81@ Boston Celtics 109","Game 1 Sun, May 1 Milwaukee Bucks 101@ Boston Celtics 89 Game 2 Tue, May 3 Milwaukee Bucks 86@ Boston Celtics 109 Game 3 Sat, May 7 Boston Celtics 101@ Milwaukee Bucks 103 Game 4 Mon, May 9 Boston Celtics 116@ Milwaukee Bucks 108 Game 5 Wed, May 11 Milwaukee Bucks 110@ Boston Celtics 107 Game 6 Fri, May 13 Boston Celtics 108@ Milwaukee Bucks 95 Game 7 Sun, May 15 Milwaukee Bucks 81@ Boston Celtics 109","Game 1 Sun, May 1 Milwaukee Bucks 101@ Boston Celtics 89 Game 2 Tue, May 3 Milwaukee Bucks 86@ Boston Celtics 109 Game 3 Sat, May 7 Boston Celtics 101@ Milwaukee Bucks 103 Game 4 Mon, May 9 Boston Celtics 116@ Milwaukee Bucks 108 Game 5 Wed, May 11 Milwaukee Bucks 110@ Boston Celtics 107 Game 6 Fri, May 13 Boston Celtics 108@ Milwaukee Bucks 95 Game 7 Sun, May 15 Milwaukee Bucks 81@ Boston Celtics 109",,,
29,Game 1,"Sun, May 1",Milwaukee Bucks,101.0,@ Boston Celtics,89.0
30,Game 2,"Tue, May 3",Milwaukee Bucks,86.0,@ Boston Celtics,109.0
31,Game 3,"Sat, May 7",Boston Celtics,101.0,@ Milwaukee Bucks,103.0
32,Game 4,"Mon, May 9",Boston Celtics,116.0,@ Milwaukee Bucks,108.0
33,Game 5,"Wed, May 11",Milwaukee Bucks,110.0,@ Boston Celtics,107.0
34,Game 6,"Fri, May 13",Boston Celtics,108.0,@ Milwaukee Bucks,95.0
35,Game 7,"Sun, May 15",Milwaukee Bucks,81.0,@ Boston Celtics,109.0
36,Eastern Conference Semifinals,Miami Heat over Philadelphia 76ers  (4-2),Series Stats,,,
37,"Game 1 Mon, May 2 Philadelphia 76ers 92@ Miami Heat 106 Game 2 Wed, May 4 Philadelphia 76ers 103@ Miami Heat 119 Game 3 Fri, May 6 Miami Heat 79@ Philadelphia 76ers 99 Game 4 Sun, May 8 Miami Heat 108@ Philadelphia 76ers 116 Game 5 Tue, May 10 Philadelphia 76ers 85@ Miami Heat 120 Game 6 Thu, May 12 Miami Heat 99@ Philadelphia 76ers 90","Game 1 Mon, May 2 Philadelphia 76ers 92@ Miami Heat 106 Game 2 Wed, May 4 Philadelphia 76ers 103@ Miami Heat 119 Game 3 Fri, May 6 Miami Heat 79@ Philadelphia 76ers 99 Game 4 Sun, May 8 Miami Heat 108@ Philadelphia 76ers 116 Game 5 Tue, May 10 Philadelphia 76ers 85@ Miami Heat 120 Game 6 Thu, May 12 Miami Heat 99@ Philadelphia 76ers 90","Game 1 Mon, May 2 Philadelphia 76ers 92@ Miami Heat 106 Game 2 Wed, May 4 Philadelphia 76ers 103@ Miami Heat 119 Game 3 Fri, May 6 Miami Heat 79@ Philadelphia 76ers 99 Game 4 Sun, May 8 Miami Heat 108@ Philadelphia 76ers 116 Game 5 Tue, May 10 Philadelphia 76ers 85@ Miami Heat 120 Game 6 Thu, May 12 Miami Heat 99@ Philadelphia 76ers 90",,,
38,Game 1,"Mon, May 2",Philadelphia 76ers,92.0,@ Miami Heat,106.0
39,Game 2,"Wed, May 4",Philadelphia 76ers,103.0,@ Miami Heat,119.0
40,Game 3,"Fri, May 6",Miami Heat,79.0,@ Philadelphia 76ers,99.0
41,Game 4,"Sun, May 8",Miami Heat,108.0,@ Philadelphia 76ers,116.0
42,Game 5,"Tue, May 10",Philadelphia 76ers,85.0,@ Miami Heat,120.0
43,Game 6,"Thu, May 12",Miami Heat,99.0,@ Philadelphia 76ers,90.0
44,Western Conference Semifinals,Dallas Mavericks over Phoenix Suns  (4-3),Series Stats,,,
